data,hora,municipio,tipo_crime,bairro,cep,logradouro,lat,lon,ano
2023-01-21,19:30:58,S.PAULO,Roubo (art. 157),VILA MARIANA,0.0,ESTAÇÃO METRO VILA MARIANA,-23.5886,-46.634522,2023
2023-01-01,08:20:00,S.PAULO,Roubo (art. 157),SÉ,1001902.0," PRAÇA DA SÉ, 385",-23.552,-46.634429,2023
2022-12-30,19:50:00,S.PAULO,Roubo (art. 157),SÉ,1017000.0,AVENIDA RANGEL PESTANA,-23.5492,-46.629354,2023
2023-01-01,05:15:00,S.PAULO,Roubo (art. 157),SE,1501010.0,RUA DOUTOR RODRIGO SILVA,-23.5521,-46.63558,2023
2022-12-10,09:00:25,S.PAULO,Roubo (art. 157),SE,1021000.0,RUA VINTE E CINCO DE MARCO,-23.5463,-46.631709,2023
2022-12-10,09:00:25,S.PAULO,Roubo (art. 157),SE,1021000.0,RUA VINTE E CINCO DE MARCO,-23.5463,-46.631709,2023
2023-01-02,15:00:00,S.PAULO,Roubo (art. 157),SÉ,1016040.0,PRAÇA DA SÉ,-23.5489,-46.633026,2023
2023-01-01,17:00:59,S.PAULO,Roubo (art. 157),LIBERDADE,1502000.0,AVENIDA DA LIBERDADE,-23.5572,-46.636418,2023
2023-01-03,05:00:29,S.PAULO,Roubo (art. 157),SÉ,1001000.0,PRAÇA DA SÉ,-23.5503,-46.634189,2023
2023-01-03,05:00:29,S.PAULO,Roubo (art. 157),SÉ,1001000.0,PRAÇA DA SÉ,-23.5503,-46.634189,2023
2023-01-02,18:00:00,S.PAULO,Roubo (art. 157),LIBERDADE,1503001.0,AVENIDA DA LIBERDADE,-23.557,-46.636264,2023
2023-01-01,21:25:00,S.PAULO,Roubo (art. 157),SE,3102010.0,RUA DA FIGUEIRA,-23.5483,-46.626261,2023
2023-01-03,15:30:00,S.PAULO,Roubo (art. 157),SE,1001001.0,PRAÇA DA SE,-23.5505,-46.634293,2023
2023-01-03,,S.PAULO,Roubo (art. 157),SE,3003000.0,RUA DA FIGUEIRA,-23.5453,-46.626353,2023
2023-01-03,12:30:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1015070.0,PARQUE DOM PEDRO II,-23.5474,-46.630647,2023
2023-01-03,12:30:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1015070.0,PARQUE DOM PEDRO II,-23.5474,-46.630647,2023
2022-01-04,09:07:00,S.PAULO,Roubo (art. 157),SE,1001001.0,PRAÇA DA SE,-23.5506,-46.634343,2023
2023-01-04,21:40:00,S.PAULO,Roubo (art. 157),REPUBLICA,1319001.0,RUA MARIA PAULA,-23.5525,-46.638236,2023
2023-01-04,22:38:00,S.PAULO,Roubo (art. 157),REPUBLICA,1007020.0,PRAÇA DA BANDEIRA,-23.5502,-46.639255,2023
2023-01-04,22:38:00,S.PAULO,Roubo (art. 157),REPUBLICA,1007020.0,PRAÇA DA BANDEIRA,-23.5502,-46.639255,2023
2022-01-05,20:50:00,S.PAULO,Roubo (art. 157),SE,1511000.0,RUA CONSELHEIRO FURTADO,-23.5553,-46.63308,2023
2023-01-05,17:10:00,S.PAULO,Roubo (art. 157),SE,3102010.0,RUA DA FIGUEIRA,-23.5512,-46.624995,2023
